id,name,state,postcode,lat,lng
1,DARWIN,NT,0800,-12.461334,130.841904
2,ALAWA,NT,0810,-12.378960,130.874226
3,BRINKIN,NT,0810,-12.364533,130.869394
4,CASUARINA,NT,0810,-12.373112,130.883619
5,COCONUT GROVE,NT,0810,-12.397685,130.852324
6,JINGILI,NT,0810,-12.390186,130.871700
7,LEE POINT,NT,0810,-12.338907,130.892832
8,LYONS,NT,0810,-12.356385,130.890267
9,MILLNER,NT,0810,-12.391230,130.863333
10,MOIL,NT,0810,-12.389845,130.879999
11,MUIRHEAD,NT,0810,-12.356385,130.890267
12,NAKARA,NT,0810,-12.366912,130.879513
13,NIGHTCLIFF,NT,0810,-12.387942,130.849995
14,RAPID CREEK,NT,0810,-12.380922,130.859023
15,TIWI,NT,0810,-12.364782,130.880623
16,WAGAMAN,NT,0810,-12.379276,130.885854
17,WANGURI,NT,0810,-12.372904,130.887500
18,ANULA,NT,0812,-12.391910,130.890150
19,BUFFALO CREEK,NT,0812,-12.337809,130.899362
20,HOLMES,NT,0812,-12.428727,130.846699
21,KARAMA,NT,0812,-12.401070,130.916890
22,LEANYER,NT,0812,-12.379630,130.897115
23,MALAK,NT,0812,-12.393299,130.904238
24,MARRARA,NT,0812,-12.398681,130.880139
25,NORTHLAKES,NT,0812,-12.398473,130.891021
26,SANDERSON,NT,0812,-12.390504,130.898908
27,WOODLEIGH GARDENS,NT,0812,-12.375375,130.891047
28,WULAGI,NT,0812,-12.384188,130.894012
29,BAGOT,NT,0820,-12.415431,130.856140
30,BAYVIEW,NT,0820,-12.435598,130.857633
31,CHARLES DARWIN,NT,0820,-12.449044,130.876030
32,COONAWARRA,NT,0820,-12.430699,130.912053
33,CULLEN BAY,NT,0820,-12.454698,130.824456
34,DARWIN INTERNATIONAL AIRPORT,NT,0820,-12.410444,130.882272
35,EAST POINT,NT,0820,-12.411465,130.824583
36,EATON,NT,0820,-12.399659,130.874113
37,FANNIE BAY,NT,0820,-12.426200,130.840418
38,LARRAKEYAH,NT,0820,-12.452585,130.830789
39,LUDMILLA,NT,0820,-12.421373,130.854017
40,PARAP,NT,0820,-12.433021,130.843316
41,RAAF BASE DARWIN,NT,0820,-12.420672,130.883148
42,STUART PARK,NT,0820,-12.444853,130.849026
43,THE GARDENS,NT,0820,-12.448568,130.832138
44,THE NARROWS,NT,0820,-12.427843,130.860364
45,WINNELLIE,NT,0820,-12.430434,130.879379
46,WOOLNER,NT,0820,-12.437190,130.848429
47,BERRIMAH,NT,0828,-12.433543,130.923415
48,KNUCKEY LAGOON,NT,0828,-12.426573,130.948129
49,HOLTZE,NT,0829,-12.460902,130.983610
50,PINELANDS,NT,0829,-12.453888,130.964433
51,ARCHER,NT,0830,-12.511818,130.970587
52,DRIVER,NT,0830,-12.485308,130.973449
53,DURACK,NT,0830,-12.475217,130.973008
54,FARRAR,NT,0830,-12.477590,130.991221
55,GRAY,NT,0830,-12.491764,130.978649
56,MARLOW LAGOON,NT,0830,-12.498212,130.964475
57,MOULDEN,NT,0830,-12.510221,130.975812
58,PALMERSTON,NT,0830,-12.480648,130.983218
59,SHOAL BAY,NT,0830,-12.377091,131.059434
60,WOODROFFE,NT,0830,-12.499539,130.981000
61,YARRAWONGA,NT,0830,-12.470862,130.989827
62,BAKEWELL,NT,0832,-12.498599,130.992798
63,BELLAMACK,NT,0832,-12.520996,130.980113
64,GUNN,NT,0832,-12.488610,130.991724
65,JOHNSTON,NT,0832,-12.385503,130.856913
66,MITCHELL,NT,0832,-12.527191,130.982725
67,ROSEBERY,NT,0832,-12.504502,130.991323
68,ROSEBERY HEIGHTS,NT,0832,-12.501969,130.988349
69,ZUCCOLI,NT,0832,-12.4986800,131.0131840
70,COOLALINGA,NT,0835,-12.525569,131.045497
71,HOWARD SPRINGS,NT,0835,-12.492361,131.053167
72,VIRGINIA,NT,0835,-12.548465,131.017522
73,GIRRAWEEN,NT,0836,-12.525561,131.096214
74,HERBERT,NT,0836,-12.542320,131.157190
75,HUMPTY DOO,NT,0836,-12.554878,131.118574
76,MANTON,NT,0837,-12.824108,131.156694
77,NOONAMAH,NT,0837,-12.657382,131.077631
78,BERRY SPRINGS,NT,0838,-12.699786,131.016587
79,DUNDEE BEACH,NT,0840,-12.759539,130.357518
80,DUNDEE DOWNS,NT,0840,-12.771275,130.527516
81,DUNDEE FOREST,NT,0840,-12.810373,130.440452
82,DARWIN RIVER,NT,0841,-12.801004,130.949246
83,BATCHELOR,NT,0845,-13.050548,131.030806
84,ADELAIDE RIVER,NT,0846,-13.186311,131.137598
85,PINE CREEK,NT,0847,-13.822876,131.834790
86,COSSACK,NT,0850,-14.531143,132.141855
87,EMUNGALAN,NT,0850,-14.439228,132.256215
88,KATHERINE,NT,0850,-14.465748,132.263619
89,KATHERINE EAST,NT,0850,-14.470000,132.287000
90,KATHERINE SOUTH,NT,0850,-14.465748,132.263619
91,LANSDOWNE,NT,0850,-14.470520,132.384318
92,ARNOLD,NT,0852,-12.483069,130.993449
93,BAINES,NT,0852,-12.371934,130.900146
94,BARUNGA,NT,0852,-14.521926,132.863090
95,BESWICK,NT,0852,-14.591396,133.109962
96,BESWICK CREEK,NT,0852,-14.4677580,132.7748330
97,BINJARI,NT,0852,-14.5517340,132.1810300
98,BIRDUM,NT,0852,-16.253308,133.370564
99,BRADSHAW,NT,0852,-23.714452,133.861126
100,BUCHANAN,NT,0852,-16.519312,131.775311
101,BULMAN WEEMOL,NT,0852,-13.6606400,134.3280700
102,CRESWELL,NT,0852,-12.363212,130.881040
103,DAGURAGU,NT,0852,-17.591379,130.599334
104,DALY WATERS,NT,0852,-16.273744,133.380800
105,DELAMERE,NT,0852,-15.746765,131.921401
106,DUNMARRA,NT,0852,-16.681562,133.411905
107,EDITH,NT,0852,-14.239909,132.046853
108,ELSEY,NT,0852,-14.990045,133.311368
109,ELSEY STATION,NT,0852,-14.990045,133.311368
110,FLORINA,NT,0852,-14.506858,132.109357
111,FLYING FOX,NT,0852,-14.0990170,133.9596330
112,GREGORY,NT,0852,-16.285240,130.689516
113,GULUNG MARDRULK,NT,0852,-13.4787000,134.5187700
114,GURINDJI,NT,0852,-17.4813150,130.8937010
115,JILKMINGGAN,NT,0852,-14.9555850,133.3039470
116,KALKARINDJI,NT,0852,-17.4470620,130.8366210
117,LAJAMANU,NT,0852,-18.338844,130.636744
118,LARRIMAH,NT,0852,-15.574399,133.216065
119,LIMMEN,NT,0852,-15.277174,135.525444
120,MANBULLOO,NT,0852,-14.512868,132.231446
121,MARANBOY,NT,0852,-14.505860,132.771413
122,MATARANKA,NT,0852,-14.896653,133.057065
123,MCARTHUR,NT,0852,-16.068737,136.305465
124,MINIYERI,NT,0852,-15.2228500,134.0773030
125,NGUKURR,NT,0852,-14.714192,134.740001
126,NITMILUK,NT,0852,-14.1763490,132.1615720
127,PELLEW ISLANDS,NT,0852,-15.6666670,136.8000000
128,PIGEON HOLE,NT,0852,-16.862608,131.165977
129,ROBINSON RIVER,NT,0852,-16.750000,136.916667
130,STURT PLATEAU,NT,0852,-15.6569910,132.6737990
131,TANAMI EAST,NT,0852,-18.318961,130.501229
132,TIMBER CREEK,NT,0852,-15.660385,130.480092
133,TOP SPRINGS,NT,0852,-16.374211,132.038099
134,URALLA,NT,0852,-14.497732,132.295882
135,VENN,NT,0852,-14.5745230,132.4878190
136,VICTORIA RIVER,NT,0852,-15.491258,130.331556
137,VICTORIA RIVER DOWNS,NT,0852,-16.338919,131.085227
138,WARUMUNGU,NT,0852,-19.4401730,134.2080090
139,WAVE HILL,NT,0852,-17.322940,131.057164
140,WILTON,NT,0852,-14.557304,134.586363
141,YARRALIN,NT,0852,-16.4450410,130.8820330
142,TINDAL,NT,0853,-14.472261,132.257686
143,BORROLOOLA,NT,0854,-16.058249,136.286074
144,KING ASH BAY,NT,0854,-15.896270,136.531248
145,TENNANT CREEK,NT,0860,-19.651250,134.176764
146,AVON DOWNS,NT,0862,-20.231104,137.762232
147,CALVERT,NT,0862,-12.672702,132.838416
148,CRESSWELL DOWNS,NT,0862,-17.939922,135.588193
149,ELLIOTT,NT,0862,-23.684000,133.869007
150,HELEN SPRINGS,NT,0862,-18.409610,133.882690
151,MUCKATY STATION,NT,0862,-18.629682,133.906927
152,NEWCASTLE WATERS,NT,0862,-17.3685750,133.4280040
153,NICHOLSON,NT,0862,-18.3897430,138.1279120
154,PAMAYU,NT,0862,,
155,PHILLIP CREEK STATION,NT,0862,,
156,RENNER SPRINGS,NT,0862,-23.696244,133.888505
157,TABLELANDS,NT,0862,-18.234409,135.806048
158,THREE WAYS,NT,0862,,
159,WARREGO,NT,0862,-19.512201,134.068348
160,WOLLOGORANG STATION,NT,0862,-17.142478,137.591784
161,WYCLIFFE WELL,NT,0862,,
162,ALICE SPRINGS,NT,0870,-23.700358,133.880889
163,ARALUEN,NT,0870,-23.7023890,133.8495360
164,ARUMBERA,NT,0870,-23.7783845,133.8482142
165,BRAITLING,NT,0870,-23.6757230,133.8667680
166,CICCONE,NT,0870,-23.699966,133.851992
167,CONNELLAN,NT,0870,-23.7921290,133.8798520
168,DESERT SPRINGS,NT,0870,-23.7095230,133.8810190
169,EAST SIDE,NT,0870,-23.6967650,133.8906290
170,FLYNN,NT,0870,-23.708036,133.858385
171,GILLEN,NT,0870,-23.7072010,133.8648040
172,ILPARPA,NT,0870,-23.757120,133.812873
173,IRLPME,NT,0870,-23.696737,133.825131
174,LARAPINTA,NT,0870,-23.699194,133.844910
175,MOUNT JOHNS,NT,0870,-23.7232760,133.8805160
176,ROSS,NT,0870,-23.752438,133.907400
177,SADADEEN,NT,0870,-23.704697,133.892823
178,STUART,NT,0870,-23.730035,133.863352
179,THE GAP,NT,0870,-23.712531,133.875422
180,UNDOOLYA,NT,0870,-23.693917,133.936802
181,WHITE GUMS,NT,0870,-23.7468190,133.7608670
182,AHERRENGE,NT,0872,,
183,ALI CURUNG,NT,0872,-20.998545,134.382200
184,AMATA,NT,0872,-25.962716,131.606872
185,AMOONGUNA,NT,0872,,
186,AMPILATWATJA,NT,0872,,
187,ANATYE,NT,0872,-23.3794380,136.4954090
188,ANMATJERE,NT,0872,,
189,ANTEWENEGERRDE,NT,0872,,
190,AREYONGA,NT,0872,,
191,ATITJERE,NT,0872,,
192,AYERS ROCK,NT,0872,-25.247968,131.020153
193,BARROW CREEK,NT,0872,-21.379898,133.975551
194,BURT PLAIN,NT,0872,,
195,CANTEEN CREEK,NT,0872,-20.645254,135.585443
196,CHILLA WELL,NT,0872,,
197,COSTELLO,NT,0872,-12.480902,130.998679
198,DAVENPORT,NT,0872,-12.489358,130.998295
